dataset_type,n_items,budget_tokens,strategy,p1,mean_tokens_used,mean_items_included,trials
power_law,100,4000,default,0.0695,3802.5,7.65,2000
power_law,100,4000,reversed,0.0510,3809.6,5.65,2000
power_law,100,4000,element_count,0.0560,3805.7,5.64,2000
power_law,100,4000,priority,0.2435,3812.7,5.65,2000
power_law,100,8000,random,0.1200,7811.5,11.49,2000
power_law,100,8000,default,0.1365,7697.1,15.03,2000
power_law,100,8000,reversed,0.1165,7809.0,11.48,2000
power_law,100,8000,element_count,0.1215,7809.8,11.48,2000
power_law,100,8000,priority,0.3995,7812.4,11.50,2000
power_law,200,1000,random,0.0035,733.2,1.10,2000
power_law,200,1000,default,0.0065,965.4,2.00,2000
power_law,200,1000,reversed,0.0065,732.2,1.09,2000
power_law,200,1000,element_count,0.0060,732.4,1.10,2000
power_law,200,1000,priority,0.0310,729.2,1.09,2000
power_law,200,2000,random,0.0085,1834.3,2.80,2000
power_law,200,2000,default,0.0185,1939.2,4.00,2000
power_law,200,2000,reversed,0.0100,1828.8,2.78,2000
power_law,200,2000,element_count,0.0165,1835.0,2.80,2000
power_law,200,2000,priority,0.0675,1836.8,2.80,2000
power_law,200,4000,random,0.0255,3810.3,5.65,2000
power_law,200,4000,default,0.0410,3909.5,8.00,2000
power_law,200,4000,reversed,0.0215,3806.8,5.64,2000
power_law,200,4000,element_count,0.0305,3807.7,5.65,2000
power_law,200,4000,priority,0.1395,3809.8,5.65,2000
power_law,200,8000,random,0.0535,7809.7,11.48,2000
power_law,200,8000,default,0.0860,7820.8,15.74,2000
power_law,200,8000,reversed,0.0500,7812.6,11.49,2000
power_law,200,8000,element_count,0.0605,7811.7,11.48,2000
power_law,200,8000,priority,0.2550,7807.6,11.46,2000
adversarial,20,1000,random,0.0555,811.4,1.08,2000
adversarial,20,1000,default,0.0780,920.4,1.40,2000
adversarial,20,1000,reversed,0.3670,844.7,1.14,2000
adversarial,20,1000,element_count,0.0000,846.9,1.14,2000
adversarial,20,1000,priority,0.4060,854.8,1.21,2000
adversarial,20,2000,random,0.3125,1931.4,2.95,2000
adversarial,20,2000,default,0.0600,1999.8,3.00,2000
adversarial,20,2000,reversed,0.8275,1957.4,2.99,2000
adversarial,20,2000,element_count,0.0000,1961.0,3.00,2000
adversarial,20,2000,priority,0.8715,1965.6,3.00,2000
adversarial,20,4000,random,0.8605,3915.0,5.76,2000
adversarial,20,4000,default,0.0000,4000.0,5.92,2000
adversarial,20,4000,reversed,0.9775,3948.5,5.80,2000
adversarial,20,4000,element_count,0.0000,3951.9,5.81,2000
adversarial,20,4000,priority,0.9940,3974.1,5.88,2000
adversarial,20,8000,random,1.0000,7905.9,11.54,2000
adversarial,20,8000,default,0.0000,8000.0,11.59,2000
adversarial,20,8000,reversed,1.0000,7932.7,11.60,2000
adversarial,20,8000,element_count,0.0060,7936.6,11.60,2000
adversarial,20,8000,priority,0.9995,7982.7,11.67,2000
adversarial,50,1000,random,0.0000,869.0,1.20,2000
adversarial,50,1000,default,0.0350,979.5,1.85,2000
adversarial,50,1000,reversed,0.2180,899.7,1.35,2000
adversarial,50,1000,element_count,0.0000,902.4,1.37,2000
adversarial,50,1000,priority,0.2485,907.7,1.45,2000
adversarial,50,2000,random,0.0000,1972.6,3.00,2000
adversarial,50,2000,default,0.0000,2000.0,3.00,2000
adversarial,50,2000,reversed,0.7315,1980.9,3.00,2000
adversarial,50,2000,element_count,0.0000,1980.5,3.00,2000
adversarial,50,2000,priority,0.7055,1975.1,3.00,2000
adversarial,50,4000,random,0.0000,3962.1,5.81,2000
adversarial,50,4000,default,0.0000,4000.0,5.92,2000
adversarial,50,4000,reversed,0.9605,3981.4,5.85,2000
adversarial,50,4000,element_count,0.0000,3980.6,5.86,2000
adversarial,50,4000,priority,0.9400,3981.0,5.90,2000
adversarial,50,8000,random,0.0000,7967.1,11.66,2000
adversarial,50,8000,default,0.0000,8000.0,11.59,2000
adversarial,50,8000,reversed,1.0000,7980.5,11.65,2000
adversarial,50,8000,element_count,0.0000,7981.5,11.66,2000
adversarial,50,8000,priority,0.9990,7989.7,11.71,2000
adversarial,100,1000,random,0.0005,730.0,1.09,2000
adversarial,100,1000,default,0.0185,965.8,1.99,2000
adversarial,100,1000,reversed,1.0000,729.5,1.09,2000
adversarial,100,1000,element_count,0.0000,729.7,1.09,2000
adversarial,100,1000,priority,0.3400,731.5,1.09,2000
adversarial,100,2000,random,0.0005,1834.4,2.79,2000
adversarial,100,2000,default,0.0370,1933.3,3.95,2000
adversarial,100,2000,reversed,1.0000,1831.8,2.79,2000
adversarial,100,2000,element_count,0.0000,1833.6,2.79,2000
adversarial,100,2000,priority,0.6200,1830.7,2.79,2000
adversarial,100,4000,random,0.0000,3809.9,5.65,2000
adversarial,100,4000,default,0.0725,3802.5,7.65,2000
adversarial,100,4000,reversed,1.0000,3809.6,5.65,2000
adversarial,100,4000,element_count,0.0000,3805.7,5.64,2000
adversarial,100,4000,priority,0.8520,3808.9,5.65,2000
adversarial,100,8000,random,0.0000,7811.5,11.49,2000
adversarial,100,8000,default,0.1435,7697.1,15.03,2000
adversarial,100,8000,reversed,1.0000,7809.0,11.48,2000
adversarial,100,8000,element_count,0.0000,7809.8,11.48,2000
adversarial,100,8000,priority,0.9860,7814.2,11.49,2000
adversarial,200,1000,random,0.0000,733.2,1.10,2000
adversarial,200,1000,default,0.0075,965.4,2.00,2000
adversarial,200,1000,reversed,1.0000,732.2,1.09,2000
adversarial,200,1000,element_count,0.0000,732.4,1.10,2000
adversarial,200,1000,priority,0.2275,730.5,1.09,2000
adversarial,200,2000,random,0.0000,1834.3,2.80,2000
adversarial,200,2000,default,0.0185,1939.2,4.00,2000
adversarial,200,2000,reversed,1.0000,1828.8,2.78,2000
adversarial,200,2000,element_count,0.0000,1835.0,2.80,2000
adversarial,200,2000,priority,0.4305,1829.7,2.79,2000
adversarial,200,4000,random,0.0005,3810.3,5.65,2000
adversarial,200,4000,default,0.0360,3909.5,8.00,2000
adversarial,200,4000,reversed,1.0000,3806.8,5.64,2000
adversarial,200,4000,element_count,0.0000,3807.7,5.65,2000
adversarial,200,4000,priority,0.6510,3808.3,5.65,2000
adversarial,200,8000,random,0.0000,7809.7,11.48,2000
adversarial,200,8000,default,0.0805,7820.8,15.74,2000
adversarial,200,8000,reversed,1.0000,7812.6,11.49,2000
adversarial,200,8000,element_count,0.0000,7811.7,11.48,2000
adversarial,200,8000,priority,0.8570,7806.8,11.48,2000
realistic,20,1000,random,0.0515,811.4,1.08,2000
realistic,20,1000,default,0.0665,920.4,1.40,2000
realistic,20,1000,reversed,0.0555,844.7,1.14,2000
realistic,20,1000,element_count,0.0540,846.9,1.14,2000
realistic,20,1000,priority,0.0510,804.2,1.09,2000
realistic,20,2000,random,0.1515,1931.4,2.95,2000
realistic,20,2000,default,0.1465,1999.8,3.00,2000
realistic,20,2000,reversed,0.1460,1957.4,2.99,2000
realistic,20,2000,element_count,0.1445,1961.0,3.00,2000
realistic,20,2000,priority,0.1350,1938.9,2.96,2000
realistic,20,4000,random,0.2920,3915.0,5.76,2000
realistic,20,4000,default,0.3060,4000.0,5.92,2000
realistic,20,4000,reversed,0.2920,3948.5,5.80,2000
realistic,20,4000,element_count,0.2845,3951.9,5.81,2000
realistic,20,4000,priority,0.2640,3942.3,5.80,2000
realistic,20,8000,random,0.5725,7905.9,11.54,2000
realistic,20,8000,default,0.5760,8000.0,11.59,2000
realistic,20,8000,reversed,0.5805,7932.7,11.60,2000
realistic,20,8000,element_count,0.5745,7936.6,11.60,2000
realistic,20,8000,priority,0.5520,7932.2,11.58,2000
realistic,50,1000,random,0.0295,869.0,1.20,2000
realistic,50,1000,default,0.0340,979.5,1.85,2000
realistic,50,1000,reversed,0.0300,899.7,1.35,2000
